Designator,Mid X,Mid Y,Layer,Rotation
C1,85.34,17.78,Bottom,0.0
C2,72.64,16.26,Bottom,270.0
C3,101.60,17.53,Bottom,0.0
C4,117.86,19.56,Bottom,0.0
C5,134.11,19.81,Bottom,0.0
C6,24.51,15.56,Bottom,90.0
C7,19.94, 6.10,Bottom,0.0
C8,76.77,10.86,Bottom,90.0
C9,93.47,11.30,Bottom,90.0
C10,109.60,12.07,Bottom,90.0
C11,126.05,11.37,Bottom,90.0
C12,84.33, 6.35,Bottom,90.0
C13,100.08, 6.86,Bottom,180.0
C14,116.33, 7.11,Bottom,180.0
C15,132.59, 7.11,Bottom,180.0
IC1,82.80,12.19,Bottom,0.0
IC2,74.93,19.81,Bottom,180.0
IC3,99.06,12.19,Bottom,0.0
IC6,115.32,12.19,Bottom,0.0
IC9,131.57,12.19,Bottom,0.0
R1,82.04,20.32,Bottom,0.0
R2,85.34,19.81,Bottom,0.0
R3,82.04,18.29,Bottom,180.0
R4, 9.65, 3.81,Bottom,180.0
R5,88.90,14.73,Bottom,0.0
R7,88.39,12.19,Bottom,90.0
R8,74.68,16.26,Bottom,270.0
R9,62.48,12.70,Bottom,180.0
R10,98.30,20.32,Bottom,0.0
R11,101.60,19.56,Bottom,0.0
R12,98.30,18.29,Bottom,180.0
R13,29.21, 3.56,Bottom,180.0
R14,105.16,14.73,Bottom,0.0
R16,104.58,12.19,Bottom,90.0
R17,62.48,14.73,Bottom,180.0
R18,88.39, 9.14,Bottom,90.0
R19,91.44, 9.65,Bottom,270.0
R20,80.52, 7.37,Bottom,180.0
R21,114.55,20.32,Bottom,0.0
R22,117.86,17.53,Bottom,0.0
R23,114.55,18.29,Bottom,180.0
R24,52.83, 2.54,Bottom,180.0
R25,121.92,14.73,Bottom,0.0
R27,121.16,12.19,Bottom,90.0
R28,62.48,16.76,Bottom,180.0
R29,83.69, 3.81,Bottom,0.0
R30,107.70, 9.14,Bottom,180.0
R31,104.58, 9.14,Bottom,90.0
R32,130.81,20.32,Bottom,0.0
R33,134.11,17.78,Bottom,0.0
R34,130.81,18.29,Bottom,180.0
R35,69.34, 4.06,Bottom,270.0
R36,137.67,14.73,Bottom,0.0
R38,137.67,12.19,Bottom,90.0
R39,61.98,19.30,Bottom,90.0
R40,96.77, 7.37,Bottom,180.0
R41,123.95,11.43,Bottom,270.0
R42,101.09, 4.83,Bottom,0.0
R43,120.90, 9.14,Bottom,90.0
R44,113.03, 7.37,Bottom,180.0
R45,117.35, 5.08,Bottom,0.0
R46,137.16, 9.14,Bottom,90.0
R47,133.60, 5.08,Bottom,0.0
R48,129.29, 7.11,Bottom,180.0
